key,year,name,time,state,country,district,start_date,end_date,type,week,offseason,video,status,current_match,qual_matches,epa_max,epa_top8,epa_top24,epa_mean,epa_sd,epa_acc,epa_mse,rp_1_acc,rp_1_mse,rp_2_acc,rp_2_mse
2004arc,2004,Archimedes Division,1082001600,GA,USA,NULL,2004-04-15,2004-04-17,3,8,f,NULL,Completed,147,128,85.33,65.7,50.58,39.36,20.08,0.7211,0.1912,NULL,NULL,NULL,NULL
2004az,2004,Arizona Regional,1078981200,AZ,USA,NULL,2004-03-11,2004-03-13,0,2,f,NULL,Completed,81,81,54.24,32.27,15.58,22.88,13.42,0.6296,0.195,NULL,NULL,NULL,NULL
2004ca,2004,Southern California Regional,1080190800,CA,USA,NULL,2004-03-25,2004-03-27,0,4,f,NULL,Completed,117,100,78.64,40.77,25.57,24.24,15.05,0.6581,0.2019,NULL,NULL,NULL,NULL
2004cmp,2004,Einstein Field,1082174400,GA,USA,NULL,2004-04-17,2004-04-17,4,8,f,NULL,Completed,8,0,79.28,41.15,NULL,50.18,15.98,0.625,0.2031,NULL,NULL,NULL,NULL
2004co,2004,Colorado Regional,1080190800,CO,USA,NULL,2004-03-25,2004-03-27,0,4,f,NULL,Completed,103,86,73.36,34.91,19.33,22.63,14.21,0.6893,0.2089,NULL,NULL,NULL,NULL
2004ct,2004,UTC New England Regional,1079586000,CT,USA,NULL,2004-03-18,2004-03-20,0,3,f,NULL,Completed,101,86,75.73,53.37,31.35,37.51,17.1,0.6634,0.2044,NULL,NULL,NULL,NULL
2004cur,2004,Curie Division,1082001600,GA,USA,NULL,2004-04-15,2004-04-17,3,8,f,NULL,Completed,145,128,81.73,58.28,45.85,38.17,16.4,0.5862,0.2159,NULL,NULL,NULL,NULL
2004dt,2004,Detroit Regional,1079586000,MI,USA,NULL,2004-03-18,2004-03-20,0,3,f,NULL,Completed,95,80,50.43,39.52,16.95,27.02,12.73,0.5579,0.2152,NULL,NULL,NULL,NULL
2004fl,2004,Florida Regional,1078981200,FL,USA,NULL,2004-03-11,2004-03-13,0,2,f,NULL,Completed,103,103,66.59,41.5,21.28,27.25,15.21,0.6408,0.2085,NULL,NULL,NULL,NULL
2004ga,2004,Peachtree Regional,1079586000,GA,USA,NULL,2004-03-18,2004-03-20,0,3,f,NULL,Completed,109,92,64.33,37.24,17.66,21.77,13.65,0.6055,0.2033,NULL,NULL,NULL,NULL
