team,name,offseason,state,country,district,rookie_year,active,norm_epa,norm_epa_recent,norm_epa_mean,norm_epa_max,wins,losses,ties,count,winrate,full_wins,full_losses,full_ties,full_count,full_winrate
135,Penn Robotics,false,IN,USA,fin,1998,true,1542,1582,1620,1795,426,334,8,768,0.5599,453,366,9,828,0.5525
136,Killer Kardinals,false,NJ,USA,fma,1997,false,1424,1393,1447,1533,95,187,9,291,0.3419,104,192,9,305,0.3557
138,Entropy,false,NH,USA,ne,1996,true,1597,1543,1549,1698,273,230,13,516,0.5417,324,298,13,635,0.5205
140,Tigers,false,MA,USA,NULL,1997,false,1415,NULL,1443,1473,13,26,4,43,0.3488,13,26,4,43,0.3488
141,WOBOT,false,MI,USA,fim,1995,true,1523,1605,1588,1783,523,510,19,1052,0.5062,553,540,19,1112,0.5058
144,The R.O.C.K,false,OH,USA,NULL,1994,true,1616,1586,1551,1642,157,158,6,321,0.4984,172,169,6,347,0.5043
145,T-Rx,false,NY,USA,NULL,1997,false,1443,1531,1504,1612,142,136,7,285,0.5105,170,157,8,335,0.5194
146,Team 146,false,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
147,Deep Thunder,false,FL,USA,NULL,1997,false,1581,NULL,1630,1699,22,22,2,46,0.5,22,22,2,46,0.5
148,Robowranglers,false,TX,USA,fit,1992,true,1806,1867,1757,1946,731,214,9,954,0.771,882,297,10,1189,0.746
151,Tough Techs,false,NH,USA,ne,1992,true,1503,1499,1505,1689,176,231,13,420,0.4345,206,264,13,483,0.44
155,The TechnoNuts,false,CT,USA,ne,1994,true,1577,1507,1535,1687,272,289,8,569,0.4851,319,351,8,678,0.4764
156,RPM  - Robotics Plus Mayhem,false,PA,USA,NULL,1997,false,1525,1553,1552,1634,112,116,3,231,0.4913,120,120,3,243,0.5
157,AZTECHS,false,MA,USA,ne,1992,true,1514,1531,1553,1621,267,290,17,574,0.48,340,381,18,739,0.4723
158,The Cobras,false,OH,USA,NULL,1996,false,1560,NULL,1501,1560,47,62,4,113,0.4336,47,62,4,113,0.4336
159,Alpine Robotics,false,CO,USA,NULL,1998,true,1528,1520,1492,1640,191,211,10,412,0.4757,191,211,10,412,0.4757
161,Team 161,false,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
162,Team 162,false,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
163,Team 163,false,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
165,Das Goat,false,MD,USA,NULL,1998,false,1463,NULL,1468,1568,33,42,3,78,0.4423,33,42,3,78,0.4423
166,Chop Shop,false,NH,USA,ne,1995,true,1612,1544,1562,1727,287,301,6,594,0.4882,405,419,8,832,0.4916
167,Children of the Corn,false,IA,USA,NULL,1998,true,1553,1588,1531,1621,221,162,5,388,0.576,226,170,5,401,0.5698
168,Flashbacks,false,FL,USA,NULL,1998,false,1450,NULL,1459,1567,79,105,7,191,0.4319,79,105,7,191,0.4319
169,Team 169,false,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
171,Cheese Curd Herd,false,WI,USA,NULL,1995,true,1480,1495,1569,1686,219,189,13,421,0.5356,241,218,14,473,0.5243
172,Northern Force,false,ME,USA,ne,1996,true,1624,1572,1546,1702,256,232,9,497,0.5241,370,375,12,757,0.4967
173,RAGE Robotics ⚙️,false,CT,USA,ne,1995,true,1519,1544,1589,1990,338,314,4,656,0.5183,418,418,7,843,0.5
174,Arctic Warriors,false,NY,USA,NULL,1998,false,1550,1550,1553,1730,165,160,7,332,0.5075,175,171,8,354,0.5056
175,Buzz Robotics,false,CT,USA,ne,1996,true,1565,1617,1665,1800,492,353,10,855,0.5813,567,434,11,1012,0.5657
176,Aces High,false,CT,USA,ne,1996,true,1878,1812,1647,1878,580,292,21,893,0.6613,700,379,21,1100,0.6459
177,Bobcat Robotics,false,CT,USA,ne,1995,true,1700,1691,1637,1750,558,293,14,865,0.6532,647,347,15,1009,0.6487
