team,name,country,state,rookie_year,offseason,district,active,primary_color,secondary_color,wins,losses,ties,count,winrate,full_wins,full_losses,full_ties,full_count,full_winrate,norm_epa,norm_epa_recent,norm_epa_mean,norm_epa_max
105,Team 105,USA,MA,1996,f,NULL,f,NULL,NULL,7,4,0,11,0.6364,7,4,0,11,0.6364,1481,NULL,1481,1481
1051,Technical Terminators,USA,SC,2003,f,pch,t,NULL,NULL,150,136,4,290,0.5241,150,136,4,290,0.5241,1561,1577,1522,1635
1052,Team 1052,USA,CA,2003,f,NULL,f,NULL,NULL,4,11,0,15,0.2667,4,11,0,15,0.2667,1382,NULL,1382,1382
1053,Gears of Glebe,Canada,ON,2003,f,NULL,f,NULL,NULL,27,50,3,80,0.3563,27,50,3,80,0.3563,1392,NULL,1456,1537
1054,Knightmares,USA,VA,2003,f,NULL,f,NULL,NULL,10,10,4,24,0.5,10,10,4,24,0.5,1451,NULL,1446,1494
1055,Frank's Garage,USA,IL,2003,f,NULL,f,NULL,NULL,9,13,0,22,0.4091,9,13,0,22,0.4091,1480,NULL,1466,1480
1056,Hot Rocks,USA,HI,2003,f,NULL,t,NULL,NULL,94,79,0,173,0.5434,95,81,1,177,0.5395,1516,1516,1557,1751
1057,The Blue Knights,USA,GA,2003,f,NULL,f,NULL,NULL,50,38,2,90,0.5667,50,38,2,90,0.5667,1389,NULL,1517,1625
1058,PVC Pirates,USA,NH,2003,f,ne,t,#eeeeee,#cd3433,317,267,11,595,0.542,474,411,15,900,0.535,1588,1551,1565,1775
1059,Team 1059,USA,CT,2003,f,NULL,f,NULL,NULL,8,12,1,21,0.4048,8,12,1,21,0.4048,1469,NULL,1500,1531
1060,Dust Devils,USA,AZ,2003,f,NULL,f,NULL,NULL,2,9,0,11,0.1818,2,9,0,11,0.1818,1376,NULL,1376,1376
1062,Storm Troopers,USA,FL,2003,f,NULL,f,NULL,NULL,16,30,0,46,0.3478,16,30,0,46,0.3478,1388,NULL,1410,1446
1063,Team MG,Canada,ON,2003,f,NULL,f,NULL,NULL,5,11,0,16,0.3125,5,11,0,16,0.3125,1411,NULL,1406,1411
1064,Wild Beast,USA,WI,2003,f,NULL,f,NULL,NULL,6,16,0,22,0.2727,6,16,0,22,0.2727,1466,NULL,1406,1466
1065,The Moose,USA,FL,2003,f,NULL,f,NULL,NULL,171,119,4,294,0.5884,177,124,4,305,0.5869,1512,NULL,1577,1750
1065B,1065B,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,4,5,0,9,0.4444,1407,NULL,1421,1435
1067,Junior Billikens,USA,MO,2003,f,NULL,f,NULL,NULL,5,9,0,14,0.3571,5,9,0,14,0.3571,1459,NULL,1473,1486
1068,The Ninjaneers,USA,FL,2003,f,NULL,f,NULL,NULL,9,21,0,30,0.3,9,21,0,30,0.3,1409,NULL,1451,1499
1069,Technobots,USA,SC,2003,f,NULL,f,NULL,NULL,5,4,0,9,0.5556,5,4,0,9,0.5556,1533,NULL,1533,1533
107,Team R.O.B.O.T.I.C.S.,USA,MI,1997,f,fim,t,#c8c4c3,#727170,468,372,22,862,0.5557,559,462,23,1044,0.5465,1624,1625,1640,1801
1070,Royal Robotrons,USA,CA,2003,f,NULL,f,NULL,NULL,46,45,2,93,0.5054,46,45,2,93,0.5054,1475,NULL,1489,1553
1071,Team MAX,USA,CT,2003,f,ne,t,#00a2e8,#000507,264,239,6,509,0.5246,324,340,9,673,0.4881,1531,1545,1544,1629
1072,Harker Robotics,USA,CA,2003,f,NULL,t,#1e3055,#ffffff,206,238,8,452,0.4646,257,296,8,561,0.4652,1607,1611,1507,1646
1072B,1072B,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,6,3,0,9,0.6667,1301,NULL,1301,1301
1073,The Force Team,USA,NH,2003,f,ne,t,#0829d3,#f75a04,304,250,19,573,0.5471,444,381,24,849,0.5371,1629,1626,1586,1677
1074,Team 1074,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
1075,Sprockets,Canada,ON,2003,f,ont,f,NULL,NULL,184,220,7,411,0.4562,223,268,9,500,0.455,1543,NULL,1515,1615
1076,Pi Hi Samurai,USA,MI,2003,f,fim,t,#000000,#ffffff,139,160,7,306,0.4657,144,167,7,318,0.4638,1521,1500,1504,1628
1077,All Stars,USA,FL,2003,f,NULL,f,NULL,NULL,3,8,0,11,0.2727,3,8,0,11,0.2727,1469,NULL,1469,1469
1079,Chaparral Robotic Eng And Tech Explorers Murrieta Amazing Grace Inventors Coalit,USA,CA,2003,f,NULL,f,NULL,NULL,9,15,1,25,0.38,9,15,1,25,0.38,1526,NULL,1446,1526
108,SigmaC@T Robotics Team,USA,FL,1995,f,NULL,t,#18272c,#1d9bd5,277,284,12,573,0.4939,281,289,13,583,0.4931,1588,1571,1558,1757
1080,Resurgence Robotics,USA,VA,2003,f,chs,f,NULL,NULL,67,75,1,143,0.472,88,108,2,198,0.4495,1449,NULL,1516,1609
1081,Tech Warriors,USA,GA,2003,f,NULL,f,NULL,NULL,5,10,2,17,0.3529,5,10,2,17,0.3529,1408,NULL,1417,1426
1082,Railroaders,USA,NV,2003,f,NULL,f,NULL,NULL,8,12,3,23,0.413,8,12,3,23,0.413,1437,NULL,1430,1437
1083,Team Emoticons,USA,FL,2003,f,NULL,f,NULL,NULL,39,35,0,74,0.527,39,35,0,74,0.527,1576,NULL,1561,1613
1084,IronColts,Canada,ON,2003,f,NULL,f,NULL,NULL,33,29,3,65,0.5308,33,29,3,65,0.5308,1478,NULL,1493,1548
1085,Aquatic Robotics,USA,CT,2003,f,ne,f,NULL,NULL,9,15,0,24,0.375,9,15,0,24,0.375,1444,NULL,1444,1444
1086,Blue Cheese,USA,VA,2003,f,chs,t,#fae922,#ffffff,301,266,10,577,0.5303,348,331,13,692,0.5123,1552,1585,1574,1812
1087,Titronics Digerati,USA,OR,2003,f,NULL,f,NULL,NULL,32,34,2,68,0.4853,32,34,2,68,0.4853,1373,NULL,1495,1556
1088,Scarborough Warriors At The Top,Canada,ON,2003,f,NULL,f,NULL,NULL,19,16,0,35,0.5429,19,16,0,35,0.5429,1428,NULL,1546,1663
1089,Team Mercury,USA,NJ,2003,f,fma,t,#f79520,#010202,333,287,15,635,0.5362,372,337,16,725,0.5241,1591,1591,1592,1714
109,Team 109,USA,IL,1998,f,NULL,f,NULL,NULL,4,5,0,9,0.4444,4,5,0,9,0.4444,1569,NULL,1569,1569
1090,Team 1090,USA,MO,2003,f,NULL,f,NULL,NULL,4,4,0,8,0.5,4,4,0,8,0.5,1478,NULL,1478,1478
1091,Oriole Assault,USA,WI,2003,f,NULL,t,#57250c,#c0c3c4,146,167,4,317,0.4669,146,167,4,317,0.4669,1501,1498,1517,1647
1092,The Rabid Rabbits,USA,GA,2003,f,NULL,f,NULL,NULL,2,7,0,9,0.2222,2,7,0,9,0.2222,1402,NULL,1402,1402
1093,Cougars,USA,VA,2003,f,NULL,f,NULL,NULL,7,14,2,23,0.3478,7,14,2,23,0.3478,1390,NULL,1430,1451
1094,Channel Cats,USA,MO,2003,f,NULL,f,NULL,NULL,171,168,3,342,0.5044,213,212,5,430,0.5012,1580,NULL,1538,1607
1095,Metal Minds,USA,VA,2003,f,NULL,f,NULL,NULL,47,42,7,96,0.526,47,42,7,96,0.526,1389,NULL,1495,1596
1096,ZULU,USA,VA,2003,f,NULL,f,NULL,NULL,0,7,0,7,0,0,7,0,7,0,1382,NULL,1382,1382
1097,Site 3 Engineering,USA,CA,2003,f,NULL,f,NULL,NULL,30,38,3,71,0.4437,30,38,3,71,0.4437,1494,NULL,1453,1495
1098,"Rockwood Robotics ""Rock-Bots""",USA,MO,2003,f,NULL,f,NULL,NULL,77,77,2,156,0.5,77,77,2,156,0.5,1651,NULL,1530,1651
1099,DiscoTechs,USA,CT,2003,f,ne,t,#a3a3a3,#ffff42,194,210,4,408,0.4804,215,241,4,460,0.4717,1497,1495,1528,1659
11,MORT,USA,NJ,1997,f,fma,t,#ffc100,#000000,536,402,13,951,0.5705,599,473,14,1086,0.558,1650,1635,1609,1788
1100,Inverse Polarity,USA,MA,2003,f,ne,t,#fdbd1f,#920000,316,268,13,597,0.5402,392,357,14,763,0.5229,1638,1578,1595,1736
1101,Mustangs,USA,ND,2003,f,NULL,f,NULL,NULL,15,21,0,36,0.4167,15,21,0,36,0.4167,1394,NULL,1404,1436
1102,M'Aiken Magic,USA,SC,2003,f,pch,t,#2ab420,#b6d8b5,294,206,9,509,0.5864,347,222,9,578,0.6081,1657,1649,1585,1778
1103,Frankenbots,USA,WI,2003,f,NULL,f,NULL,NULL,47,49,9,105,0.4905,50,53,9,112,0.4866,1533,NULL,1533,1594
