key,year,name,time,country,state,district,start_date,end_date,type,week,offseason,video,status,num_teams,current_match,qual_matches,epa_max,epa_top_8,epa_top_24,epa_mean,epa_sd,count,epa_conf,epa_acc,epa_mse,epa_score_rmse,epa_score_mae,epa_score_error,rp_count,epa_rp_1_error,epa_rp_1_acc,epa_rp_1_ll,epa_rp_1_f1,epa_rp_2_error,epa_rp_2_acc,epa_rp_2_ll,epa_rp_2_f1
2004mo,2004,St. Louis Regional,1078981200,USA,MO,NULL,2004-03-11,2004-03-13,regional,2,f,NULL,Completed,52,78,78,56.4,37.76,21.3,23.24,10.76,78,0.678,0.7436,0.1814,27.1088,23.0603,-1.0006,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004new,2004,Newton Division,1082001600,USA,GA,NULL,2004-04-15,2004-04-17,champs_div,8,f,NULL,Completed,73,147,128,77.74,57.47,42.58,36.25,16.02,147,0.6881,0.6122,0.2251,37.8526,30.9951,-3.2395,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004nh,2004,BAE SYSTEMS Granite State Regional,1078376400,USA,NH,NULL,2004-03-04,2004-03-06,regional,1,f,NULL,Completed,51,102,102,57.88,45.21,26.41,28.18,14.16,102,0.7052,0.6471,0.2017,34.2774,26.9326,-3.3628,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004nj,2004,New Jersey Regional,1078376400,USA,NJ,NULL,2004-03-04,2004-03-06,regional,1,f,NULL,Completed,47,94,94,49.81,38.35,25,26.52,11.4,94,0.6527,0.5851,0.2328,30.7598,24.3051,-2.5711,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004ny,2004,New York City Regional,1080190800,USA,NY,NULL,2004-03-25,2004-03-27,regional,4,f,NULL,Completed,33,91,75,64.57,32.92,12.87,22.52,14.25,91,0.7322,0.7692,0.1403,25.7905,20.9788,0.6762,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004oh,2004,Buckeye Regional,1080190800,USA,OH,NULL,2004-03-25,2004-03-27,regional,4,f,NULL,Completed,60,119,105,61.64,43.46,29.42,26.58,13.86,119,0.6703,0.6639,0.2028,34.0138,26.4001,-5.9455,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004on,2004,Greater Toronto Regional,1080795600,Canada,ON,NULL,2004-04-01,2004-04-03,regional,5,f,NULL,Completed,75,173,150,55.12,37.85,25.95,22.07,11.7,173,0.696,0.7341,0.183,27.8483,22.3902,0.3792,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004or,2004,Pacific Northwest Regional,1078376400,USA,OR,NULL,2004-03-04,2004-03-06,regional,1,f,NULL,Completed,36,81,81,55.93,35.41,18.47,26.02,12.33,81,0.6465,0.6667,0.2074,33.2156,25.1178,-4.0856,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004pa,2004,Philadelphia Regional,1080190800,USA,PA,NULL,2004-03-25,2004-03-27,regional,4,f,NULL,Completed,44,116,99,73.01,47.39,29.15,33.81,15.48,116,0.6892,0.6897,0.2003,36.3967,30.2179,-6.4658,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004pit,2004,Pittsburgh Regional,1078981200,USA,PA,NULL,2004-03-11,2004-03-13,regional,2,f,NULL,Completed,35,79,79,45.48,32.01,17.37,22.04,11.12,79,0.6874,0.7215,0.1832,26.8163,21.5301,1.0773,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004sac,2004,Sacramento Regional,1079586000,USA,CA,NULL,2004-03-18,2004-03-20,regional,3,f,NULL,Completed,32,88,72,65.62,28.01,16.14,24.44,14.17,88,0.7015,0.6591,0.1934,30.0141,23.389,-1.9415,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004sc,2004,Palmetto Regional,1080795600,USA,SC,NULL,2004-04-01,2004-04-03,regional,5,f,NULL,Completed,42,102,84,49.08,37.66,24.42,27.09,11.39,102,0.681,0.7059,0.2148,31.1004,25.1696,-2.8301,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004sj,2004,Silicon Valley Regional,1080795600,USA,CA,NULL,2004-04-01,2004-04-03,regional,5,f,NULL,Completed,46,109,92,78.36,41.92,22.96,26.4,14.75,109,0.6778,0.5505,0.2196,36.4846,29.4575,-4.0169,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004tx,2004,Lone Star Regional,1080795600,USA,TX,NULL,2004-04-01,2004-04-03,regional,5,f,NULL,Completed,43,114,97,50.59,36.91,19.04,23.7,11.84,114,0.6864,0.6491,0.1969,27.2183,21.9917,-1.5145,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004wpi,2004,Battlecry@WPI 5,1087531200,USA,MA,NULL,2004-06-18,2004-06-19,offseason,9,t,NULL,Completed,37,88,56,78.19,56.96,32.97,41.59,15.23,88,0.6695,0.5682,0.2463,42.8955,35.3817,17.3532,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2005arc,2005,Archimedes Division,1114056000,USA,GA,NULL,2005-04-21,2005-04-23,champs_div,8,f,NULL,Completed,85,117,100,27.47,19.39,14.61,11.59,5.59,117,0.6721,0.5897,0.2399,19.7645,15.5643,-2.4808,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2005az,2005,Arizona Regional,1110430800,USA,AZ,NULL,2005-03-10,2005-03-12,regional,2,f,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2005ca,2005,Southern California Regional,1112245200,USA,CA,NULL,2005-03-31,2005-04-02,regional,5,f,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2005cmp,2005,Einstein Field,1114228800,USA,GA,NULL,2005-04-23,2005-04-23,einstein,8,f,NULL,Completed,12,7,0,26.13,18.73,NULL,20.12,4.72,7,0.6304,0.5714,0.2099,12.7523,10.1821,1.1307,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2005co,2005,Colorado Regional,1111640400,USA,CO,NULL,2005-03-24,2005-03-26,regional,4,f,NULL,Completed,38,86,70,28.98,10.47,4.83,7.29,6.57,86,0.6842,0.7558,0.175,17.8678,13.5713,-1.5611,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
