team,name,state,country,district,active,elo,elo_recent,elo_mean,elo_max,wins,losses,ties,count,winrate
179,Children of the Swamp,FL,USA,None,1,1766.0584,1808.61,1698.71,1845.22,391,178,4,573,0.6859
180,S.P.A.M.,FL,USA,None,1,1695.2632,1767.34,1706.72,1926.8,410,188,5,603,0.6841
181,Birds Of Prey,CT,USA,ne,1,1663.99,1630.04,1574.95,1700.32,268,270,16,554,0.4982
182,ThunderQuest,MI,USA,None,0,NULL,NULL,1422.73,1449.22,9,20,0,29,0.3103
184,F.R.E.D.,MI,USA,None,0,NULL,NULL,1496.59,1556.89,52,75,1,128,0.4102
186,The Alliance,FL,USA,None,0,NULL,NULL,1531.47,1582.02,31,25,3,59,0.5508
188,Blizzard,ON,Canada,ont,1,1765.93,1728.9,1696.82,1799.42,464,266,10,740,0.6338
190,Gompei and the H.E.R.D.,MA,USA,ne,1,1577.79,1627.16,1597.62,1679.35,418,353,17,788,0.5412
191,X-CATS,NY,USA,None,1,1553.4584000000002,1594.58,1628.31,1778.58,243,185,8,436,0.5665
192,GRT,CA,USA,None,1,1580.0008,1634.55,1612.65,1659.45,344,277,13,634,0.5528
193,MORT Beta,NJ,USA,fma,1,1562.6080000000002,1597.46,1660.32,1757.24,222,188,12,422,0.5403
195,CyberKnights,CT,USA,ne,1,1784.1384,1887.29,1738.13,2001.66,588,223,13,824,0.7215
199,Deep Blue,CA,USA,None,1,1499.0384000000001,1512.78,1484.91,1521.14,41,45,0,86,0.4767
201,The FEDS,MI,USA,fim,1,1528.66,1607.55,1623.53,1750.51,353,339,16,708,0.5099
203,SOUPer BOTS,NJ,USA,fma,1,1620.2016,1670.81,1533.25,1729.67,218,266,10,494,0.4514
204,Eastern Robotic Vikings,NJ,USA,fma,1,1526.6192,1527.44,1506.4,1574.19,188,268,13,469,0.4147
207,METALCRAFTERS,CA,USA,None,1,1554.18,1617.87,1587.52,1674.55,244,214,10,468,0.5321
209,DRRT,MA,USA,None,0,NULL,NULL,1454.67,1465.04,9,13,1,23,0.413
211,MAK,NY,USA,None,0,NULL,NULL,1493.85,1596.65,60,74,5,139,0.4496
212,Robotics And Creative Engineering,FL,USA,None,0,NULL,NULL,1544.06,1587.89,21,11,0,32,0.6562
213,The Dirty Birds,NH,USA,ne,1,1525.3456,1563.2,1535.35,1611.45,172,159,8,339,0.5192
215,Team 215,TX,USA,None,0,NULL,NULL,1508.46,1508.46,5,4,0,9,0.5556
216,More RoboDawgs,MI,USA,fim,1,1570.08,1568.18,1563.03,1615.46,267,300,6,573,0.4712
217,ThunderChickens,MI,USA,fim,1,1661.14,1756.6,1747.84,2003.1,770,374,18,1162,0.6704
219,Team Impact 219,NJ,USA,fma,1,1588.4304000000002,1654.02,1542.77,1690.42,219,235,8,462,0.4827
222,Tigertrons,PA,USA,fma,1,1669.9464000000003,1726.15,1684.63,1770.05,451,280,11,742,0.6152
223,Xtreme Heat,NJ,USA,fma,1,1612.6808,1645.86,1565.49,1655.94,275,336,11,622,0.451
224,The Tribe,NJ,USA,fma,1,1542.4464,1546.95,1560.29,1633.42,237,242,12,491,0.4949
225,TechFire,PA,USA,fma,1,1794.7176000000002,1857.47,1667.3,1991.7,456,200,11,667,0.6919
226,Hammerheads,MI,USA,fim,1,1742.16,1708.96,1630.93,1742.16,380,331,19,730,0.5336
228,GUS Robotics,CT,USA,ne,1,1684.54,1660.88,1601.26,1712.14,272,253,10,535,0.5178
229,Division By Zero,NY,USA,None,1,1556.0472,1603.53,1617.49,1800.84,302,249,9,560,0.5473
230,Gaelhawks,CT,USA,ne,1,1684.04,1775.41,1680.35,1917.66,524,322,11,857,0.6179
231,High Voltage,TX,USA,fit,1,1708.76,1652.97,1630.96,1708.76,324,239,15,578,0.5735
233,The Pink Team,FL,USA,None,1,1648.1168,1701.24,1793.05,2005.48,521,220,10,751,0.7004
234,Cyber Blue,IN,USA,fin,1,1743.94,1766.44,1724.38,1916.81,570,284,14,868,0.6647
235,Motown Live Wires,MI,USA,None,0,NULL,NULL,1560.1,1620.02,43,34,4,81,0.5556
236,Techno-Ticks,CT,USA,ne,1,1635.23,1655.26,1622.87,1722.42,306,238,6,550,0.5618
237,Black Magic Robotics,CT,USA,ne,1,1598.3,1637.36,1641.41,1750.51,321,275,8,604,0.5381
238,Crusaders,NH,USA,ne,1,1692.4360000000001,1724.35,1564.89,1838.55,273,231,9,513,0.5409
240,TEMPEST,MI,USA,fim,1,1544.65,1509.03,1515.21,1625.74,190,202,20,412,0.4854
241,Astros,NH,USA,None,0,NULL,NULL,1492.88,1572.81,58,61,6,125,0.488
244,RoboDawgs 3D,MI,USA,fim,1,1575.06,1596.96,1561.77,1638.6,248,247,8,503,0.501
245,Adambots,MI,USA,fim,1,1644.2,1736.46,1685.43,1909.1,574,386,10,970,0.5969
246,Overclocked,MA,USA,ne,1,1509.98,1542,1519.82,1683.88,204,222,4,430,0.4791
247,Da Bears,MI,USA,fim,1,1491.58,1559.49,1589,1694.98,377,352,14,743,0.5168
249,The Bulldogs,MI,USA,None,0,NULL,NULL,1511.92,1547.67,29,29,2,60,0.5
250,The Dynamos,NY,USA,None,1,1556.8584,1586.09,1580.15,1642.38,233,221,7,461,0.513
253,Boba Bots,CA,USA,None,1,1532.3696,1486.45,1440.61,1614.54,83,133,4,220,0.3864
254,The Cheesy Poofs,CA,USA,None,1,1847.28,1957.18,1899.21,2165.08,718,146,6,870,0.8287
255,Team 255,CA,USA,None,0,NULL,NULL,1473.15,1473.15,2,6,1,9,0.2778
256,Robo-Rams,CA,USA,None,1,1437.9328,1436.22,1468.3,1566.05,103,132,7,242,0.4401
258,Sea Dawgs,CA,USA,None,0,NULL,NULL,1500.03,1523.78,13,14,1,28,0.4821
259,LABRATs,CA,USA,None,0,NULL,NULL,1495.17,1519.28,10,10,1,21,0.5
263,Aftershock,NY,USA,None,1,1607.94,1671.38,1573.76,1721.19,252,218,13,483,0.5352
265,Moderate Heat,NJ,USA,fma,0,NULL,1449.45,1461.47,1473.48,17,31,0,48,0.3542
267,Demolition Squad,FL,USA,None,0,NULL,NULL,1540.38,1607.99,25,19,2,46,0.5652
269,CooneyTech,WI,USA,None,1,1592.6944,1649.49,1595.24,1771.84,230,192,7,429,0.5443
270,Falcons,NY,USA,None,0,NULL,NULL,1491.54,1542.64,65,86,4,155,0.4323
271,Mechanical Marauders,NY,USA,None,1,1571.7328,1576.87,1612.09,1751.53,330,272,15,617,0.547
272,Cyber-Crusaders,PA,USA,fma,1,1591.1904000000002,1640.9,1652.11,1742.83,372,306,10,688,0.548
274,Rhodes Maniacs,OH,USA,None,0,NULL,NULL,1526.42,1563.29,33,32,2,67,0.5075
276,Madcows!,OH,USA,None,0,NULL,NULL,1456.73,1594.65,52,83,8,143,0.3916
278,Team 278,FL,USA,None,0,NULL,NULL,1545,1545,10,8,0,18,0.5556
279,Tech Fusion,OH,USA,None,1,1492.17,1540.43,1569.22,1778.13,190,200,8,398,0.4874
280,TnT,MI,USA,fim,1,1514.4264,1548.84,1574.68,1695.31,235,256,17,508,0.4793
281,The GreenVillains,SC,USA,None,1,1560.57,1574.39,1571.07,1689.88,244,231,13,488,0.5133
283,The Generals,SC,USA,None,1,1519.21,1548.22,1545.99,1605.86,66,74,2,142,0.4718
284,The Crew,PA,USA,None,0,NULL,NULL,1521.93,1556.63,37,52,1,90,0.4167
287,Floyd,NY,USA,None,1,1592.7744,1613.77,1567.3,1645.32,195,179,9,383,0.5209
288,The RoboDawgs,MI,USA,fim,1,1537.89,1562.62,1537.39,1626.69,285,403,19,707,0.4165
291,CIA - Creativity In Action,PA,USA,None,1,1618.928,1655.45,1598.34,1820.41,265,212,14,491,0.554
292,PantherTech,IN,USA,fin,1,1514.64,1580.82,1601.06,1710.44,312,283,14,609,0.5238
293,SPIKE,NJ,USA,fma,1,1559.9056,1650.6,1635.38,1794.11,315,269,8,592,0.5389
294,Beach Cities Robotics,CA,USA,None,1,1742.3,1718.49,1614.47,1805.78,344,253,13,610,0.5746
295,Grizzly Robotics Team,CA,USA,None,0,NULL,1545.96,1538.23,1673.96,172,166,6,344,0.5087
296,Northern Knights,QC,Canada,None,1,1543.37,1517.74,1528.23,1753.4,198,216,6,420,0.4786
297,Dragons 2,MI,USA,fim,0,NULL,NULL,1472.22,1472.22,9,16,1,26,0.3654
298,Team 298,CA,USA,None,0,NULL,NULL,1589.76,1589.76,8,4,0,12,0.6667
299,Valkyrie Robotics,CA,USA,None,1,1522.58,1452.83,1452.83,1522.58,31,45,1,77,0.4091
300,AAME,PA,USA,None,0,NULL,NULL,1456.77,1543.22,16,21,0,37,0.4324
301,P.R.O.B.O.T.S.,MI,USA,None,0,NULL,NULL,1502.96,1548.28,52,63,3,118,0.4534
302,The Dragons,MI,USA,fim,1,1644.75,1701.22,1642.47,1800.16,449,352,16,817,0.5594
303,The T.E.S.T. Team,NJ,USA,fma,1,1685.87,1780.76,1663,1892.03,531,319,14,864,0.6227
304,GWHS Robo Griffins,PA,USA,fma,0,NULL,1538.91,1509.47,1670.29,128,177,6,311,0.4212
306,CRT,PA,USA,None,0,NULL,NULL,1560.77,1709.34,140,155,8,303,0.4752
308,Monsters,MI,USA,fim,1,1612.37,1633.69,1581.98,1714.66,300,290,13,603,0.5083
311,Red Jammers,NY,USA,None,0,NULL,NULL,1667.49,1755.65,56,24,1,81,0.6975
312,HeatWave,FL,USA,None,0,NULL,NULL,1606.13,1710.09,84,70,2,156,0.5449
313,The Bionic Zebras,MI,USA,fim,1,1498.9672,1500.67,1504.31,1551.17,144,214,12,370,0.4054
314,The Megatron Oracles,MI,USA,fim,1,1590.15,1675.58,1620.2,1939.35,447,329,20,796,0.5741
316,LUNATECS,NJ,USA,fma,1,1662.24,1691.55,1630.73,1797.67,353,316,5,674,0.5274
317,Mechanical Geek Squad,TX,USA,None,0,NULL,NULL,1610.91,1610.91,19,6,0,25,0.76
319,Big Bad Bob,NH,USA,ne,1,1702.76,1752.8,1580.06,1897.33,354,205,11,570,0.6307
321,RoboLancers,PA,USA,fma,1,1572.8008,1585.66,1469.83,1635.74,171,238,3,412,0.4187
322,Team F.I.R.E.,MI,USA,fim,1,1460.14,1446.59,1530.98,1719.52,197,274,13,484,0.4205
